nombre_programa,codigo_pto,departamento,fecha_muestra,fecha_hora,id_muestra,clorofila_a_mg_l,alc_t_mg_ca_co3_l,conduc_m_s_cm,pt_mg_p_l,sst_mg_l,p_h_sin_unid,t_º_c
Rio Uruguay,RU2,RÍO NEGRO,2018-01-09,2018-01-09 08:45:00,3287082,NA,29,74.6,82,NA,7.15,NA
Rio Uruguay,RU13,RÍO NEGRO,2018-03-07,2018-03-07 09:50:00,3288295,NA,27,90.2,90,NA,7.7,26.1
Rio Uruguay,RU11,RÍO NEGRO,2016-03-09,2016-03-09 00:00:00,3277893,1.2,31,67.6,130,2,7.44,NA
Rio Uruguay,RU11,RÍO NEGRO,2014-10-22,2014-10-22 00:00:00,3277994,0.6,32,51.2,67,6,7.28,19.9
Rio Uruguay,RU12,RÍO NEGRO,2014-12-17,2014-12-17 00:00:00,3278012,1.2,35,74.4,60,3,7.58,25.5
Rio Uruguay,RU9,RÍO NEGRO,2015-02-24,2015-02-24 00:00:00,3278026,15,44,78.4,47,9,7.36,25
Rio Uruguay,RU3,RÍO NEGRO,2018-01-09,2018-01-09 09:00:00,3287083,4.6,29,75.7,120,NA,7.7,NA
Rio Uruguay,RU6,RÍO NEGRO,2018-01-09,2018-01-09 10:10:00,3287087,7.3,29,75.8,64,NA,7.92,NA
Rio Uruguay,RU7,RÍO NEGRO,2018-01-09,2018-01-09 10:50:00,3287088,8.5,29,80.1,60,5,7.9,NA
Rio Uruguay,RU8,RÍO NEGRO,2018-01-09,2018-01-09 11:10:00,3287090,8.8,30,84.4,58,NA,7.91,NA
Rio Uruguay,RU10,RÍO NEGRO,2014-10-22,2014-10-22 00:00:00,3277993,1.2,46,62.7,87,5,7.43,19.4
Rio Uruguay,RU12,RÍO NEGRO,2014-10-22,2014-10-22 00:00:00,3277995,0.4,30,51.1,70,6,7.25,20.4
Rio Uruguay,RU16,RÍO NEGRO,2014-10-22,2014-10-22 00:00:00,3277999,0.7,38,56.2,20,5,8,21.1
Rio Uruguay,RU2,RÍO NEGRO,2016-01-26,2016-01-26 00:00:00,3277867,1.2,24,60.4,190,1,6.84,28.9
Rio Uruguay,RU3,RÍO NEGRO,2016-07-05,2016-07-05 00:00:00,3277919,0.6,30,49.1,74,9,6.26,12.9
Rio Uruguay,RU4,RÍO NEGRO,2016-07-05,2016-07-05 00:00:00,3277920,1.6,29,49.9,67,5,7.72,13
Rio Uruguay,RU1,RÍO NEGRO,2014-07-22,2014-07-22 00:00:00,3277967,0.1,30,42.3,71,10,6.84,17
Rio Uruguay,RU1,RÍO NEGRO,2017-07-25,2017-07-25 10:21:00,3287040,NA,26,52.7,83,NA,7.36,14.9
Rio Uruguay,RU15,RÍO NEGRO,2017-07-26,2017-07-26 12:51:00,3287059,NA,28,53.7,86,NA,7.39,15.1
Rio Uruguay,RU16,RÍO NEGRO,2017-07-26,2017-07-26 13:05:00,3287060,NA,36,72.2,85,NA,6.95,16.3
Rio Uruguay,RU11,RÍO NEGRO,2015-06-24,2015-06-24 00:00:00,3278062,0.1,33,61.5,66,3,6.87,13.8
Rio Uruguay,RU11,RÍO NEGRO,2017-03-08,2017-03-08 10:15:00,3287031,0.6,25,65.8,68,6,7.25,26.5
Rio Uruguay,RU12,RÍO NEGRO,2017-03-08,2017-03-08 10:41:00,3287032,0.1,25,69.3,69,5,7.2,26.6
Rio Uruguay,RU15,RÍO NEGRO,2018-01-10,2018-01-10 10:45:00,3287098,11,29,78.7,72,6,7.96,NA
Rio Uruguay,RU4,RÍO NEGRO,2018-03-06,2018-03-06 10:05:00,3288283,2.3,23,79.9,80,NA,7.65,26
Rio Uruguay,RU11,RÍO NEGRO,2018-03-07,2018-03-07 08:50:00,3288292,4.6,27,85,140,NA,7.68,25.9
Rio Uruguay,RU5,RÍO NEGRO,2016-09-07,2016-09-07 00:00:00,3277937,0.7,29,61.1,NA,11,7.72,13.5
Rio Uruguay,RU5,RÍO NEGRO,2014-07-22,2014-07-22 00:00:00,3277971,0.1,28,55.4,67,11,6.99,17.1
Rio Uruguay,RU14,RÍO NEGRO,2015-06-24,2015-06-24 00:00:00,3278065,NA,32,60.7,68,1,7.34,13.5
Rio Uruguay,RU1,RÍO NEGRO,2017-01-17,2017-01-17 10:07:00,3286994,0.9,23,62,74,11,6.85,27.4
Rio Uruguay,RU10,RÍO NEGRO,2017-01-18,2017-01-18 09:33:00,3287003,1.5,24,67.5,79,7,6.83,27.4
Rio Uruguay,RU4,RÍO NEGRO,2017-07-25,2017-07-25 13:05:00,3287045,NA,28,54.5,92,10,7.35,14.7
Rio Uruguay,RU14,RÍO NEGRO,2017-11-08,2017-11-08 10:45:00,3287076,NA,27,71.9,85,NA,7.07,22.7
Rio Uruguay,RU1,RÍO NEGRO,2016-03-08,2016-03-08 00:00:00,3277883,0.9,31,58,140,2,7.94,26.5
Rio Uruguay,RU5,RÍO NEGRO,2016-03-08,2016-03-08 00:00:00,3277887,1.8,32,55.5,120,2,7.98,26.6
Rio Uruguay,RU2,RÍO NEGRO,2015-10-20,2015-10-20 00:00:00,3277850,1,25,52.2,63,9,7.03,20.8
Rio Uruguay,RU5,RÍO NEGRO,2016-07-05,2016-07-05 00:00:00,3277921,0.3,29,49.4,73,11,6.65,12.9
Rio Uruguay,RU7,RÍO NEGRO,2017-01-17,2017-01-17 12:53:00,3287000,0.6,24,64.1,73,9,7.3,27.4
Rio Uruguay,RU15,RÍO NEGRO,2016-07-06,2016-07-06 00:00:00,3277931,0.3,28,50.1,71,15,7.32,13.6
Rio Uruguay,RU16,RÍO NEGRO,2018-05-09,2018-05-09 11:45:00,3288432,NA,36,99.6,130,6,7.39,20.8
Rio Uruguay,RU13,RÍO NEGRO,2014-12-17,2014-12-17 00:00:00,3278013,0.3,36,80.1,79,5,7.74,27.5
Rio Uruguay,RU6,RÍO NEGRO,2015-02-24,2015-02-24 00:00:00,3278023,0.6,27,71,32,2,7.03,26.6
Rio Uruguay,RU5,RÍO NEGRO,2015-04-20,2015-04-20 00:00:00,3278039,6.4,27,57.6,81,2,7.52,19
Rio Uruguay,RU7,RÍO NEGRO,2016-07-05,2016-07-05 00:00:00,3277923,0.1,29,49.2,70,10,6.35,13
Rio Uruguay,RU4,RÍO NEGRO,2014-07-22,2014-07-22 00:00:00,3277970,0.3,26,55.7,73,9,6.88,16.9
Rio Uruguay,RU14,RÍO NEGRO,2016-07-06,2016-07-06 00:00:00,3277930,0.3,37,56.2,81,8,7.67,14.5
Rio Uruguay,RU16,RÍO NEGRO,2016-07-06,2016-07-06 00:00:00,3277932,3.1,40,59.7,77,15,8.81,15.2
Rio Uruguay,RU10,RÍO NEGRO,2016-05-04,2016-05-04 00:00:00,3277909,0.1,26,118.3,69,4,7.5,13.8
Rio Uruguay,RU1,RÍO NEGRO,2016-09-07,2016-09-07 00:00:00,3277933,0.9,30,61.6,NA,5,7.49,13.7
Rio Uruguay,RU6,RÍO NEGRO,2015-08-18,2015-08-18 00:00:00,3278074,0.4,28,61.7,150,8,6.95,16.9
Rio Uruguay,RU8,RÍO NEGRO,2017-01-17,2017-01-17 13:04:00,3287001,0.7,25,65.7,63,9,7.22,27.4
Rio Uruguay,RU16,RÍO NEGRO,2017-11-08,2017-11-08 10:45:00,3287078,NA,26,73.1,71,NA,7.12,23.6
Rio Uruguay,RU3,RÍO NEGRO,2014-10-21,2014-10-21 00:00:00,3277986,0.3,33,53.8,110,6,7.19,21
Rio Uruguay,RU4,RÍO NEGRO,2014-12-16,2014-12-16 00:00:00,3278004,2.2,34,65.9,58,9,7.42,24.4
Rio Uruguay,RU10,RÍO NEGRO,2015-04-21,2015-04-21 00:00:00,3278044,5.3,28,63.2,73,2,7.1,18.8
Rio Uruguay,RU2,RÍO NEGRO,2017-07-25,2017-07-25 11:40:00,3287042,NA,27,53,87,NA,7.29,14.7
Rio Uruguay,RU1,RÍO NEGRO,2016-07-05,2016-07-05 00:00:00,3277917,0.9,29,48.9,79,16,6.4,12.9
Rio Uruguay,RU3,RÍO NEGRO,2015-08-18,2015-08-18 00:00:00,3278071,NA,30,63,210,11,6.48,16.5
Rio Uruguay,RU4,RÍO NEGRO,2015-08-18,2015-08-18 00:00:00,3278072,0.7,26,55.7,120,9,6.88,16.9
Rio Uruguay,RU9,RÍO NEGRO,2018-05-09,2018-05-09 08:55:00,3288423,NA,49,124,180,10,7.55,20.2
Rio Uruguay,RU9,RÍO NEGRO,2016-05-04,2016-05-04 00:00:00,3277908,1.2,30,63.5,82,3,7.22,13.4
Rio Uruguay,RU12,RÍO NEGRO,2016-05-04,2016-05-04 00:00:00,3277911,0.4,25,56.1,69,10,7.33,14.1
Rio Uruguay,RU7,RÍO NEGRO,2015-02-24,2015-02-24 00:00:00,3278024,2.1,27,70,51,2,6.52,26.2
Rio Uruguay,RU1,RÍO NEGRO,2018-03-06,2018-03-06 08:22:00,3288278,NA,23,81,100,NA,7.49,26.7
Rio Uruguay,RU6,RÍO NEGRO,2018-03-06,2018-03-06 10:56:00,3288286,NA,23,85.1,85,NA,7.61,26.4
Rio Uruguay,RU9,RÍO NEGRO,2016-07-06,2016-07-06 00:00:00,3277925,0.1,38,54.2,81,4,7.67,12.8
Rio Uruguay,RU10,RÍO NEGRO,2015-08-19,2015-08-19 00:00:00,3278078,0.3,31,64.5,160,6,6.55,16.2
Rio Uruguay,RU13,RÍO NEGRO,2015-08-19,2015-08-19 00:00:00,3278081,0.1,30,62.8,180,7,7.02,16.8
Rio Uruguay,RU2,RÍO NEGRO,2018-03-06,2018-03-06 08:49:00,3288280,NA,23,80.9,83,NA,7.59,26.5
Rio Uruguay,RU2,RÍO NEGRO,2016-07-05,2016-07-05 00:00:00,3277918,NA,40,49.3,130,5,6.68,12.7
Rio Uruguay,RU14,RÍO NEGRO,2017-03-08,2017-03-08 13:20:00,3287035,1.5,25,68.3,67,NA,7.38,26.4
Rio Uruguay,RU11,RÍO NEGRO,2016-11-08,2016-11-08 00:00:00,3277960,0.4,30,69.2,77,6,7.49,22.7
Rio Uruguay,RU10,RÍO NEGRO,2015-02-24,2015-02-24 00:00:00,3278027,3.8,38,66.4,59,10,7.08,25.5
Rio Uruguay,RU8,RÍO NEGRO,2016-07-05,2016-07-05 00:00:00,3277924,0.4,35,50.5,76,5,5.88,13.3
Rio Uruguay,RU8,RÍO NEGRO,2015-08-18,2015-08-18 00:00:00,3278076,0.3,28,61.8,140,7,7.2,17
Rio Uruguay,RU2,RÍO NEGRO,2017-01-17,2017-01-17 10:34:00,3286995,1.8,17,68.9,88,7,7.3,26.8
Rio Uruguay,RU10,RÍO NEGRO,2017-03-08,2017-03-08 09:59:00,3287030,8.4,33,81.4,NA,37,7.26,25.7
Rio Uruguay,RU10,RÍO NEGRO,2017-07-26,2017-07-26 10:26:00,3287053,NA,31,60.2,93,NA,7.34,14.9
