Fecha,Estación,Alcalinidad Total (mg CaCO3/L),Clorofila a (µg/L),Conductividad (µS/cm),Fosfato (ortofosfato) (µg PO4-P/L),Fósforo total (µg P/L),Ion Nitrito (mg NO2-N/L),Nitrato (mg NO3-N/L),Nitrógeno Amoniacal (amonio) (mg NH4-N/L),Nitrógeno total (mg N/L),Oxigeno disuelto (mg/L),Potencial de hidrogeno (pH) (sin unid),Sólidos suspendidos totales (mg/L),Temperatura (ºC),Turbidez (NTU)
08/01/2008 0:00,RC60,84,,193.5,,,0.096,0.9,0.11,5.7,8.05,7.1,16,30.9,3.1
09/01/2008 0:00,RC35,80,,154.7,< LC,42,< LC,< 0.05,< LD,< 0.5,7.3,6.71,23,32,3
09/01/2008 0:00,RC40,79,,155.8,< LC,5,< LC,0.067,0.19,< 0.5,5.94,6.27,120,32.2,37
26/02/2008 0:00,RC35,85,,185,,,0.007,0.31,0.049,0.65,7.24,8.22,< 10,28,3.8
26/02/2008 0:00,RC40,110,,241,41,12,< LC,0.29,0.028,0.8,5.39,7.85,< 10,28.7,5.1
27/02/2008 0:00,RC60,110,,210.5,< LC,51,< LC,0.35,0.053,0.73,7.7,7.53,16,28.4,6.4
27/05/2008 0:00,RC35,68,,50.1,< LC,38,0.01,0.17,0.059,,7.79,6.23,< 10,15.6,11
02/09/2008 0:00,RC40,29,,58.6,< LC,34,0.018,0.69,0.061,,8.78,6.48,,16.9,6
02/09/2008 0:00,RC60,47,,69.2,< LC,48,< LC,0.07,< 0.05,,8.72,6.71,,17.1,3.1
03/09/2008 0:00,RC35,30,,58.8,< LC,3,0.016,0.98,< 0.05,,8.46,6.49,,17.5,5.2
02/12/2008 0:00,RC60,77,,166.4,< LC,49,< LC,1.5,< LC,,8.11,7.92,< 10,24.1,8.4
03/12/2008 0:00,RC35,56,,132.8,< LC,31,< LC,1.3,< LC,,8.45,7.6,< 10,25.6,7
03/12/2008 0:00,RC40,61,,144,< LC,83,0.025,3.1,0.023,,8.39,7.64,< 10,25.1,6.8
03/02/2009 0:00,RC60,69,,160.5,< LC,71,0.032,1.3,0.074,,7.81,7.26,20,25.1,25
04/02/2009 0:00,RC35,83,,208.8,< LC,11,0.006,< 0.05,< LC,,9.52,8.05,< 10,29.1,6
04/02/2009 0:00,RC40,83,,207.7,26,11,0.058,0.23,0.18,,6.95,7.31,< 10,28.3,3.9
05/05/2009 0:00,RC20,71,< 0.1,229.7,< LC,< LC,< LC,0.06,< LC,0.34,8.83,6.59,< 10,20.8,6.4
05/05/2009 0:00,RC35,70,< 0.1,157.7,< LC,< LC,< LC,0.08,0.028,0.33,7.82,7.05,< 10,19.7,8.3
06/05/2009 0:00,RC40,75,< 0.1,171.9,< LC,11,0.059,0.85,0.17,1.44,7.42,7.31,< 10,19.8,4.4
06/05/2009 0:00,RC60,103,0.15,191.1,< LC,< LC,< LC,0.08,< LC,0.46,9.01,7.73,< 10,18.6,5.3
01/09/2009 0:00,RC40,81,0.28,142.1,42,11,< LC,0.18,0.036,< 0.29,7.32,7.21,7,22.1,4.1
01/09/2009 0:00,RC60,81,0.24,168.1,< LC,19,< LC,0.07,0.061,< 0.29,7.79,7.99,8,21.7,4.2
23/03/2010 0:00,RC35,58,0.5,123.5,< LC,< LC,< LC,< LC,LD<X<LC,0.36,6.59,7.67,10,24.4,10
23/03/2010 0:00,RC40,63,< 0.1,144.9,47,95,0.031,< LC,0.14,0.99,5.58,7.31,13,26.3,14
24/03/2010 0:00,RC20,55,0.7,117.2,,,< LC,< LC,< LD,0.35,6.62,7.81,60,24.7,28
24/03/2010 0:00,RC60,63,2.9,129.1,3,93,< LC,< LC,< LD,0.68,8.05,7.51,130,23.1,60
25/05/2010 0:00,RC40,27,3.9,53.2,422,161,0.009,0.16,0.021,,7.44,6.82,65,17.7,50
25/05/2010 0:00,RC60,32,2,59.4,422,213,< LC,0.075,0.033,,6.6,7.13,140,19.8,80
26/05/2010 0:00,RC20,22,3.8,38.1,< 0.032,109,< LC,0.089,< LD,,6.5,6.63,50,16.7,37
26/05/2010 0:00,RC35,21,0.5,37.1,< 0.032,37,< LC,0.07,< LD,,6.2,6.65,91,17,50
27/07/2010 0:00,RC40,12,< 0.1,25.1,< 0.004,148,< LC,0.233,< LD,0.49,8.36,6.31,20,13.1,65
27/07/2010 0:00,RC60,25,1,49.7,< 0.004,158,< LC,0.278,< LD,0.71,8.56,7.39,85,10.3,90
28/07/2010 0:00,RC20,21,0.1,42.4,< LC,57,< LC,0.287,< LD,0.62,7.78,7.05,15,11.2,55
28/07/2010 0:00,RC35,16,< 0.1,38.8,< LC,< 23,< LC,0.289,< LD,0.62,8.12,7.01,31,10.9,55
05/10/2010 0:00,RC40,48,15.5,107.6,< LD,86,< LC,0.25,0.097,0.88,6.36,7.13,10,20.8,16
05/10/2010 0:00,RC60,50,10.2,114.5,< LD,694,< LC,0.16,< LD,0.67,8.75,7.3,17,19.2,21
06/10/2010 0:00,RC20,49,0.7,105.1,< LD,112,0.011,< LC,< LD,0.34,7.55,7.08,16,19,13
06/10/2010 0:00,RC35,54,1,103.6,< LD,117,< LC,< LC,< LD,0.4,8.32,6.9,16,18.6,15
23/11/2010 0:00,RC40,80,19.8,174.3,< LC,796,< LD,< LD,LD<X<LC,0.61,6.09,8.77,< LC,25.1,3.4
