Fecha,Estación,Alcalinidad Total (mg CaCO3/L),Clorofila a (µg/L),Conductividad (µS/cm),Fosfato (ortofosfato) (µg PO4-P/L),Fósforo total (µg P/L),Ion Nitrito (mg NO2-N/L),Nitrato (mg NO3-N/L),Nitrógeno Amoniacal (amonio) (mg NH4-N/L),Nitrógeno total (mg N/L),Oxigeno disuelto (mg/L),Potencial de hidrogeno (pH) (sin unid),Sólidos suspendidos totales (mg/L),Temperatura (ºC),Turbidez (NTU)
26/05/2009 0:00,RN1,44,<0.1,193.6,70,210,<40,0.91,0.165,1.73,7.6,6.22,22,17.8,
26/05/2009 0:00,RN3,44,0.3,97,69,460,<40,0.27,0.038,0.93,9.21,6.4,10,18,
27/05/2009 0:00,RN5,41,<0.1,106.6,14,84,<40,0.23,<0.02,0.67,8.69,6.79,<10,16.4,
27/05/2009 0:00,RN5F,40,,89,39,75,<40,0.22,<0.02,0.71,8.26,6.22,<10,16.36,
27/05/2009 0:00,RN6,41,0.3,106.4,26,99,<40,0.23,<0.02,0.69,8.47,6.25,<10,16.4,
27/05/2009 0:00,RN7,43,0.3,111.1,60,82,<40,<0.10,<0.02,0.75,9.07,7.33,<10,17,
28/05/2009 0:00,RN10,44,<0.1,111.1,84.8,91.3,<40,0.26,<0.02,0.71,9.15,7.1,<10,16.1,
28/05/2009 0:00,RN9,44,<0.1,111.6,69.5,110,<40,0.26,<0.02,0.75,8.99,7.03,<10,16.1,
28/05/2009 0:00,RN9F,43,,111.7,74.6,86.4,<40,0.26,<0.02,0.69,6.21,6.97,<10,16.9,
02/06/2009 0:00,RN11,48,0.3,117.2,18,74,<40,0.39,0.027,0.8,9.85,7.48,<10,13.7,
02/06/2009 0:00,RN13,50,<0.1,106.5,41,85,<40,0.57,<0.02,1,9.15,7.21,<10,15.4,
02/06/2009 0:00,RN13F,50,,131.9,43,100,<40,0.49,<0.02,1.01,8.32,7.2,<10,15.1,
02/06/2009 0:00,RN14,51,0.15,132.5,44,89,<40,0.53,<0.02,0.97,10.64,8.12,<10,15.7,
03/06/2009 0:00,RN15,64,0.15,150.7,62,110,80,0.53,<0.02,0.93,9.88,7.66,<10,11.9,
03/06/2009 0:00,RN16,66,<0.1,157.5,69,150,150,0.61,0.16,1.16,9.31,7.59,<10,12.4,
03/06/2009 0:00,RN17,66,<0.1,118.3,75,130,80,0.5,<0.02,1.04,9.75,7.07,15,12.4,
15/09/2009 0:00,RN1,31,1.4,81.4,110,180,<LC,0.17,<0.02,1.08,5.81,6.37,12,15.2,35
15/09/2009 0:00,RN2,28,1.5,76.5,55,150,<LC,0.18,<0.005,1.09,6.26,6.4,34,15.3,38
15/09/2009 0:00,RN3,29,0.6,71,59.571,110,<LC,0.28,<0.02,1.04,7.25,6.64,10,15.5,26
16/09/2009 0:00,RN5,45,4.8,107.2,78.857,100,<LC,0.38,<0.005,0.54,8.93,7.27,<5,15.5,26
16/09/2009 0:00,RN5F,45,,107.4,99,110,<LC,0.34,<0.005,0.62,8.36,7.4,18,15.5,27
16/09/2009 0:00,RN6,47,0.6,107.5,81,100,<LC,0.34,<0.005,0.61,8.94,7.47,<5,16.1,27
16/09/2009 0:00,RN7,48,2.1,108.5,75,100,<LC,0.41,<0.02,0.68,8.86,7.25,<5,15.6,26
17/09/2009 0:00,RN10,66,1.7,134,43.429,91.086,14,0.39,<0.005,0.69,9.49,7.86,5,15.2,17
17/09/2009 0:00,RN9,66,0.6,135.8,46,48,16,0.41,<0.005,0.7,8.64,7.59,<5,15.2,17
17/09/2009 0:00,RN9F,67,,135.6,43,54,17,0.42,<0.005,0.71,8.78,7.35,<5,15,25
22/09/2009 0:00,RN11,55,0.1,134.5,68.429,108.021,<LC,0.4,<0.005,0.74,9.17,7.56,<5,15.6,21
22/09/2009 0:00,RN12,63,0.1,156.5,88.429,128.671,7.3,0.62,0.043,0.75,8.54,7.38,<5,16.3,21
22/09/2009 0:00,RN13,51,0.4,132.1,97.357,110,6.552,0.55,<0.005,0.85,9.33,7.56,<5,16.1,19
22/09/2009 0:00,RN13F,52,,133,97,151,<LC,0.62,<0.005,0.82,9.15,7.56,<5,15.4,19
22/09/2009 0:00,RN14,51,0.2,131.1,95.571,133,<LC,0.61,<0.005,0.84,8.28,7.43,<5,14.8,20
23/09/2009 0:00,RN15,64,0.7,152.2,,,<LC,0.62,<0.005,0.77,9.32,7.86,7,14.7,21
23/09/2009 0:00,RN16,69,0.4,163.3,,,<LC,0.61,<0.005,0.77,9.16,7.8,7,15,19
23/09/2009 0:00,RN17,57,0.6,139.2,,,<LC,0.67,<0.02,0.85,8.41,7.49,<5,15.8,24
02/06/2010 0:00,RN1,47,<LC,174.4,89,160,< LC,0.72,0.1,<LD,7.14,7.79,25,13.8,
02/06/2010 0:00,RN2,24,<LC,80.4,32,110,< LC,0.1,0.024,<LD,7.42,6.4,34,14.1,
02/06/2010 0:00,RN3,33,0.2,101.9,46,100,0.006,0.19,0.059,<LD,7.42,6.28,< LC,17.5,
03/06/2010 0:00,RN10,28,8.3,65.7,46,77,< LC,<LC,<LD,<LD,8.7,7.55,7,16,
03/06/2010 0:00,RN5,26,4.8,59.2,50,68,< LC,0.07,<LD,<LD,8.32,7.47,< LC,15.6,
03/06/2010 0:00,RN5F,25,,48.2,75,75,< LC,0.079,<LD,<LD,8.35,7.2,< LC,15,
03/06/2010 0:00,RN6,25,7.8,59.4,51,75,< LC,0.07,<LD,<LD,7.91,7.37,< LC,15.1,
03/06/2010 0:00,RN7,27,5.3,62.2,69,75,< LC,<LC,<LD,<LD,7.86,7.52,< LC,15.3,
03/06/2010 0:00,RN9,28,4.4,64.7,46,67,< LC,<LC,<LD,<LD,7.85,7.46,< LC,15.1,
03/06/2010 0:00,RN9F,27,,65.3,39,67,< LC,<LC,<LD,<LD,8.63,7.34,< LC,15.2,
09/06/2010 0:00,RN11,40,2.6,75.2,47,64,< LC,0.086,<LD,<LD,9.18,7.48,< LC,14.3,
09/06/2010 0:00,RN12,76,7.1,150.9,,93,< LC,0.12,<LD,<LD,9.24,7.78,< LC,13.5,
09/06/2010 0:00,RN13,43,2.9,82.5,62,71,< LC,0.11,<LD,<LD,9.65,7.35,< LC,15.2,
09/06/2010 0:00,RN13F,43,,82.6,60,68,< LC,0.11,<LD,<LD,9.48,7.43,< LC,15.1,
09/06/2010 0:00,RN14,43,3.8,82.6,67,74,< LC,0.11,0.05,<LD,7.28,7.43,< LC,15.8,
10/06/2010 0:00,RN15,50,<LC,95.1,58,72,< LC,0.12,<LD,<LD,9.08,7.59,< LC,14,
10/06/2010 0:00,RN16,69,<LC,130,79,94,< LC,0.18,0.04,<LD,8.65,7.6,5,13.9,
10/06/2010 0:00,RN17,55,<LC,106,69,120,< LC,0.13,<LD,<LD,8.91,7.62,5,13.9,
04/08/2010 0:00,RN1,16.3,12.7,42,<4.0,75,< 5.8,0.089,0.03,0.61,8.45,6.86,10,10,
04/08/2010 0:00,RN2,19.4,<0.1,49.4,<4.0,70,< 5.8,0.07,0.05,0.59,8.26,7.05,10,10.2,
04/08/2010 0:00,RN3,19.3,1.8,49.5,<4.0,72,< 5.8,0.082,0.04,0.6,8.18,8.01,21,10.9,
05/08/2010 0:00,RN5,28.8,0.3,63.4,<4.0,76,< 5.8,0.28,<LD,0.65,10.88,8.37,<5,9.5,
05/08/2010 0:00,RN5F,29.1,,63.2,<4.0,80,< 5.8,0.27,<LD,0.66,10.94,8.2,<5,9.3,
05/08/2010 0:00,RN6,29.1,1.3,64.1,<4.0,74,< 5.8,0.27,<LD,0.63,10.41,8.38,9,9.9,
05/08/2010 0:00,RN7,29.3,2.1,64.5,<4.0,87,< 5.8,0.28,<LD,0.7,10.6,8,<5,9.3,
06/08/2010 0:00,RN10,33.3,0.3,71.2,<4.0,84,< 5.8,0.29,<LD,0.5,9.7,7.8,<5,10.1,
06/08/2010 0:00,RN9,33,<0.1,69.9,<4.0,77,< 5.8,0.28,0.02,0.77,9.93,7.26,<5,9.4,
06/08/2010 0:00,RN9F,33.7,,69.9,<4.0,74,< 5.8,0.27,0.04,0.48,10.12,7.63,<5,9.1,
11/08/2010 0:00,RN11,40.9,<0.1,82.5,<4.0,67,< 5.8,0.28,<LD,1.01,10.08,7.68,<5,10,
11/08/2010 0:00,RN12,51.7,23.8,112,<4.0,90,< 5.8,0.17,<LD,1.32,8.95,7.41,<5,10,
12/08/2010 0:00,RN13,44.3,1.2,94.5,<4.0,97,< 5.8,0.2,0.03,0.76,9.73,7.21,<5,10.2,
12/08/2010 0:00,RN13F,44.4,,95,<4.0,95,< 5.8,0.2,<0.02,0.78,9.68,7.62,<5,10.6,
12/08/2010 0:00,RN14,45,<0.1,94.4,<4.0,93,< 5.8,0.19,<LD,0.93,8.99,7.14,<5,9.9,
13/08/2010 0:00,RN15,51.1,<0.1,106.9,<4.0,98,< 5.8,0.25,<LD,0.75,9.74,7.53,<5,10,
13/08/2010 0:00,RN16,59.3,0.6,122,<4.0,103,0.006,0.27,<LD,0.74,9.58,7.3,<5,10.1,
13/08/2010 0:00,RN17,56.3,0.3,117.6,<4.0,96,< 5.8,0.26,<LD,0.76,9.09,7.57,<5,10.7,
01/12/2010 0:00,RN1,60,12.7,172.1,<LC,176,<LC,<LD,<LD,1.18,7.05,7.57,34,20.1,
01/12/2010 0:00,RN2,63,6.4,157.8,<LC,113,<LD,<LD,<LD,0.9,7.3,7.52,30,23.1,
01/12/2010 0:00,RN3,32,5.3,73.1,31,105,<LC,0.19,<LD,1.12,8.39,8.64,12,30.4,
02/12/2010 0:00,RN5,36,1.5,85.3,100,,<LC,0.19,<LD,0.92,7.63,7.49,<5,21.2,
02/12/2010 0:00,RN5F,36,,88.4,35,67.3,<LC,0.22,<LD,0.96,7.62,7.3,<5,22.9,
02/12/2010 0:00,RN6,38,11.1,87.2,39,75.2,<LC,0.19,<LC,0.97,6.25,7.29,6,21.5,
02/12/2010 0:00,RN7,37,19.5,88.6,31,88.4,<LC,0.14,<LD,0.93,8.2,7.87,<5,22.4,
03/12/2010 0:00,RN10,37,1.9,90.7,38,88,<LC,0.2,<LD,1.5,7.33,7.36,10,24,
03/12/2010 0:00,RN9,39,5,89.6,27,92.1,<LC,0.092,<LD,0.62,7.84,8.2,5,23.5,
03/12/2010 0:00,RN9F,39,<0.1,90.6,37,71.3,<LC,0.18,<LD,0.65,7.48,7.36,<5,22.7,
08/12/2010 0:00,RN11,45,4.7,93.2,41,100,<LC,0.2,<LD,1,7.62,7.57,<5,21.5,
08/12/2010 0:00,RN12,63,1.5,145.1,49,116,<LC,0.23,<LC,0.98,7.52,7.77,<5,22.8,
09/12/2010 0:00,RN13,43,22.8,99.7,38,178,<LC,0.1,0.037,1,7.95,8.43,6,23.1,
09/12/2010 0:00,RN13F,42,,101.5,41,268,<LC,0.1,0.038,1.2,7.25,8.36,6,23.5,
09/12/2010 0:00,RN14,45,2.5,101.7,67,176,<LC,0.36,0.043,1.05,8.41,7.7,<5,19.7,
10/12/2010 0:00,RN15,,4.7,140.6,52,175,<LC,0.31,0.037,1.06,7.33,7.73,<5,23.4,
10/12/2010 0:00,RN16,,9.6,130.9,31,179,<LC,0.22,<LC,1.03,7.65,8,5,23.5,
10/12/2010 0:00,RN17,,32.9,106.5,<LC,141,<LC,0.17,<LD,0.88,7.96,8.44,15,22.7,
30/03/2011 0:00,RN1,55.7,4.7,154.2,73.9,180,<0.1,<LD,0.03,1.16,7,7.34,30,19.3,
30/03/2011 0:00,RN2,62.9,6.7,133.2,48.4,105,0.14,<LD,0.04,0.87,6.88,7.26,21,19,
30/03/2011 0:00,RN3,41.9,9,108.3,76.5,170,<LD,<LD,<0.02,0.74,9.9,7.86,8,21.4,
31/03/2011 0:00,RN5,37.9,25.3,85.5,40.6,69.7,<LD,<LD,0.09,0.39,8.89,6.64,<5,20.6,
31/03/2011 0:00,RN5F,37.8,,85.4,31.9,58.3,<LD,<LD,<0.02,0.33,7.97,7.22,7,20.5,
31/03/2011 0:00,RN6,38.5,30.8,93.3,47.6,77,<LD,<LD,0.1,0.55,8.43,7.6,8,23.8,
