Fecha,Estación,Alcalinidad Total (mg CaCO3/L),Clorofila a (µg/L),Conductividad (µS/cm),Fosfato (ortofosfato) (µg PO4-P/L),Fósforo total (µg P/L),Ion Nitrito (mg NO2-N/L),Nitrato (mg NO3-N/L),Nitrógeno Amoniacal (amonio) (mg NH4-N/L),Nitrógeno total (mg N/L),Oxigeno disuelto (mg/L),Potencial de hidrogeno (pH) (sin unid),Sólidos suspendidos totales (mg/L),Temperatura (ºC),Turbidez (NTU)
07/02/2017 1:20,CA1,48,0.6,106,73,91,LD<X<LC,0.1,0.058,0.81,6.97,7.19,,24.8,11
07/02/2017 2:02,YA1,31,0.1,81.2,<LD,108,<LD,LD<X<LC,0.063,1.76,6.45,6.64,,25.1,14
07/02/2017 10:38,TG4,38,0.1,85.6,62,92,LD<X<LC,0.1,0.036,0.85,7.54,7.16,,24,15
07/02/2017 14:34,TG3,40,1.5,89.7,42,80,<LD,0.1,0.028,0.67,7.32,7.31,,26.1,16
08/02/2017 1:50,CU3,44,0.3,109.6,62,76,<LD,0.2,0.11,1.08,7.26,7.75,,26.6,11
08/02/2017 4:00,TCH010,72,0.3,159,37,89,0.006,0.2,0.51,1.36,5.93,7.39,,26.2,8.2
08/02/2017 10:00,CU1,43,0.1,89.9,49,73,LD<X<LC,0.4,0.17,0.94,8.1,7.29,,19.5,16
09/02/2017 9:55,TCH020,,<LD,69.4,,80,,,,0.77,7.27,7.22,,23.3,12
16/05/2017 10:19,CA1,24,<LD,54,25,86,LD<X<LC,0.11,<LD,1.15,7.47,7.34,19,18,
16/05/2017 10:19,TG3,13,<LD,31.6,36,110,LD<X<LC,0.11,<LD,0.93,7.18,7.46,16,18.6,
16/05/2017 10:19,TG4,23,<LD,46.2,73,92,LD<X<LC,0.2,0.019,0.77,8.29,7.25,40,15.9,
16/05/2017 10:19,YA1,17,<LD,40.6,22,83,<LD,0.043,<LD,0.89,6.98,7.59,13,17.7,
17/05/2017 10:24,CU1,34,<LD,33.7,41,110,0.007,0.22,0.091,1.17,9.6,6.69,13,13,
17/05/2017 10:24,TCH010,51,<LD,94.1,43,110,LD<X<LC,0.13,0.09,0.86,8.16,7.36,12,17,
18/05/2017 10:24,TCH020,,,41.1,25,85,,0.091,0.046,0.62,8.08,7.64,13,15.6,
