Fecha,Estación,Alcalinidad Total (mg CaCO3/L),Clorofila a (µg/L),Conductividad (µS/cm),Fosfato (ortofosfato) (µg PO4-P/L),Fósforo total (µg P/L),Ion Nitrito (mg NO2-N/L),Nitrato (mg NO3-N/L),Nitrógeno Amoniacal (amonio) (mg NH4-N/L),Nitrógeno total (mg N/L),Oxigeno disuelto (mg/L),Potencial de hidrogeno (pH) (sin unid),Sólidos suspendidos totales (mg/L),Temperatura (ºC),Turbidez (NTU)
24/02/2015 0:00,RU0,,,58.3,,52,,,,,7.48,7.38,,27.8,
24/02/2015 0:00,RU1,25,0.6,67.7,0.023,47,0.004,0.65,,0.66,6.29,7.17,3,26.1,15
24/02/2015 0:00,RU10,38,3.8,66.4,0.031,59,0.004,0.54,0.031,0.77,5.81,7.08,10,25.5,15
24/02/2015 0:00,RU11,29,0.3,65.6,0.034,52,0.004,0.64,0.048,0.82,5.56,7.05,3,25.7,16
24/02/2015 0:00,RU12,30,,58.3,0.022,47,0.004,0.65,0.033,0.85,6.03,6.97,,25.8,15
24/02/2015 0:00,RU2,28,0.9,66.8,0.098,170,0.003,0.59,0.046,0.73,4.6,6.92,1,25.8,15
24/02/2015 0:00,RU3,28,1.8,69.3,0.024,53,0.004,0.63,,0.73,5.79,6.82,2,25.9,15
24/02/2015 0:00,RU4,29,5.3,63.6,0.004,59,0.004,0.24,,0.55,4.8,6.77,2,27,14
24/02/2015 0:00,RU5,26,2.4,70.7,0.011,56,0.004,0.64,,0.82,6.48,6.96,,26.4,15
24/02/2015 0:00,RU6,27,0.6,71,0.033,32,0.004,0.62,,0.73,5.54,7.03,2,26.6,15
24/02/2015 0:00,RU7,27,2.1,70,0.018,51,0.004,0.62,,0.72,6.2,6.52,2,26.2,15
24/02/2015 0:00,RU8,28,0.3,72.1,0.023,46,0.004,0.63,,0.76,5.78,7.18,1,26.3,15
24/02/2015 0:00,RU9,44,15,78.4,0.011,47,0.004,0.43,0.048,0.81,5.94,7.36,9,25,15
25/02/2015 0:00,RU13,29,0.6,67.6,0.011,46,0.003,0.63,0.033,0.75,5.79,7.03,3,25.1,15
25/02/2015 0:00,RU14,28,1.8,71.2,0.027,52,0.004,0.63,0.029,0.77,6.56,6.63,2,25.8,16
25/02/2015 0:00,RU15,31,1.8,59,0.021,51,0.012,0.64,0.022,0.78,6.49,6.91,3,25.9,15
25/02/2015 0:00,RU16,33,9.5,70.7,0.022,54,0.004,0.57,0.04,0.79,6.18,7.37,6,25.6,14
20/04/2015 0:00,RU0,,,59.4,,69,,,,,8.39,7.09,3,19.7,
20/04/2015 0:00,RU1,,,58,0.018,68,0.005,0.52,,0.8,9.13,6.69,3,18.5,
20/04/2015 0:00,RU2,,,58,0.011,70,0.004,0.51,,0.93,8.51,7.41,3,18.2,
20/04/2015 0:00,RU3,27,2.2,57.7,0.011,68,0.004,0.51,0.015,1.04,9.99,6.58,2,19.3,12
20/04/2015 0:00,RU4,27,20.3,55.8,0.011,66,0.004,0.32,,0.87,8,7.67,10,18.6,16
20/04/2015 0:00,RU5,27,6.4,57.6,0.011,81,0.004,0.51,,0.84,8.76,7.52,2,19,12
20/04/2015 0:00,RU6,26,5.2,59,0.018,68,0.004,0.5,0.004,1.31,8.58,7.55,3,19.7,12
20/04/2015 0:00,RU7,27,3.7,58.4,0.021,69,0.004,0.49,,0.83,8.84,6.97,4,18.8,12
20/04/2015 0:00,RU8,28,5,60,0.018,61,0.005,0.51,0.014,0.81,8.58,7.55,3,19.1,12
21/04/2015 0:00,RU10,28,5.3,63.2,0.018,73,0.004,0.5,,0.91,8.7,7.1,2,18.8,12
21/04/2015 0:00,RU11,27,2.6,61.35,0.011,76,0.004,0.49,0.004,0.78,8.94,7.37,6,18.6,13
21/04/2015 0:00,RU12,27,6.5,59.1,0.011,70,0.004,0.51,,0.87,6.21,8.81,4,18.8,12
21/04/2015 0:00,RU13,28,23.8,64.2,0.026,84,0.004,0.47,,0.91,7.98,7.13,5,19.5,12
21/04/2015 0:00,RU14,29,5.5,66.6,0.018,69,0.004,0.5,,0.9,9.18,7.63,2,19.1,12
21/04/2015 0:00,RU15,27,4.6,57,0.019,68,0.004,0.5,,0.87,8.72,7.34,3,18.9,12
21/04/2015 0:00,RU16,30,19.2,63.5,0.018,74,0.004,0.4,,0.73,8.71,7.22,2,18.7,12
21/04/2015 0:00,RU9,28,3.6,68,0.038,73,0.004,0.51,,0.79,8.61,7.11,3,18.3,12
23/06/2015 0:00,RU0,,,59.4,,71,,,,,9.6,6.84,3,15.2,
