nombre_programa,codigo_pto,departamento,fecha_muestra,fecha_hora,id_muestra,clorofila_a_mg_l,feofitina_a_mg_l,alc_t_mg_ca_co3_l,conduc_m_s_cm,od_mg_l,p_h_sin_unid,sat_o2_percent,ssf_mg_l,sst_mg_l,ssv_mg_l,t_º_c,transparencia_cm,as_mg_l,cd_mg_l,ca_mg_l,cr_mg_l,fe_mg_l,mg_mg_l,hg_mg_l,ni_mg_l,pb_mg_l,k_mg_l,na_mg_l,zn_mg_l,n_amoniacal_mg_nh4_n_l,cn_total_mg_l,po4_mg_po4_p_l,pt_mg_p_l,no3_mg_no3_n_l,no2_mg_no2_n_l,nt_mg_n_l,termo_tmf_ufc_100ml,aox_mg_l,glifosato_mg_l,aldrin_mg_l,p_p_ddd_mg_l,p_p_dde_mg_l,p_p_ddt_mg_l,dieldrin_mg_l,endosulfan_alfa_mg_l,endosulfan_beta_mg_l,endosulfansulfato_mg_l,heptacloro_mg_l,lindano_mg_l,metoxicloro_mg_l,atrazina_mg_l,dbo5_mg_o2_l,sustfenolicas_mg_l,ampa_mg_l,st_mg_l,stf_mg_l,stv_mg_l,color_unidad_de_color,turbidez_ntu,cu_mg_l,se_mg_l,so4_mg_l,si_o2_mg_si_o2_l,colif_tmf_ufc_100ml,enteroc_sd_nmp_100m_l,ecoli_mf_ufc_100ml,pc_btotales_ng_l,toc_mg_l,dqo_mg_o2_l,ay_g_mg_l,dureza_t_mg_ca_co3_l,al_mg_l,s2_mg_l,heptacloroepoxido_mg_l,sd_mg_l,sdv_mg_l,pcb105_ng_l,pcb114_ng_l,pcb118_ng_l,pcb123_ng_l,pcb126_ng_l,pcb156_ng_l,pcb157_ng_l,pcb167_ng_l,pcb169_ng_l,pcb189_ng_l,pcb77_ng_l,pcb81_ng_l,b_mg_l,cl_mg_l,fenantreno_mg_l,fluoranteno_mg_l,fluoreno_mg_l,naftaleno_mg_l,pireno_mg_l,dibenzo_a_h_antraceno_mg_l,criseno_mg_l,benzo_a_antraceno_mg_l,benzo_a_pireno_mg_l,benzo_b_j_fluoranteno_mg_l,benzo_k_fluoranteno_mg_l,benzo_ghi_perileno_mg_l,acenafteno_mg_l,acenaftileno_mg_l,antraceno_mg_l,indeno_1_2_3_cd_pyreno_mg_l,deterg318_mg_l,ecoli_sd_nmp_100m_l
Rio Uruguay,RU2,RÍO NEGRO,2018-01-09,2018-01-09 08:45:00,3287082,NA,NA,29,74.6,8.15,7.15,106.4,NA,NA,NA,NA,150,NA,NA,6.7,NA,0.85,2.4,NA,NA,NA,1.6,3.2,NA,0.015,NA,NA,82,0.33,NA,1.56,1,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,46,24,85,17,NA,NA,0.66,13,10,1,NA,NA,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Uruguay,RU13,RÍO NEGRO,2018-03-07,2018-03-07 09:50:00,3288295,NA,NA,27,90.2,7.5,7.7,92,NA,NA,NA,26.1,55,NA,NA,5.7,NA,2.1,1.7,NA,NA,NA,1.6,3,NA,0.043,NA,39,90,0.92,NA,1.36,41000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,NA,90,60,30,130,33,0.005,NA,2.6,22,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Uruguay,RU11,RÍO NEGRO,2016-03-09,2016-03-09 00:00:00,3277893,1.2,0.9,31,67.6,7.42,7.44,NA,2,2,1,NA,NA,0.002,NA,7,0.002,0.45,NA,NA,0.002,0.002,1.7,2.6,0.015,0.057,NA,0.027,130,0.69,0.003,1.08,35,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,83,62,21,85,12,NA,NA,1.6,17,65,NA,1,NA,3.6,16,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Uruguay,RU11,RÍO NEGRO,2014-10-22,2014-10-22 00:00:00,3277994,0.6,0.4,32,51.2,8.51,7.28,93.9,4,6,2,19.9,65,0.002,NA,8.1,NA,1.3,0.05,NA,NA,NA,1.7,2.5,NA,0.035,NA,0.038,67,0.36,0.005,0.92,36,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,57,27,100,24,NA,0.002,1.2,16.8,180,1,1,NA,10.2,22,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Uruguay,RU12,RÍO NEGRO,2014-12-17,2014-12-17 00:00:00,3278012,1.2,2.2,35,74.4,7.59,7.58,93.8,2,3,1,25.5,65,0.002,NA,6.8,0.002,1,0.05,NA,0.002,NA,1.5,3.5,0.039,0.05,NA,0.034,60,0.42,0.004,1.31,8,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,45,32,85,14,0.009,0.002,2.7,16.8,30,1,1,NA,8.58,20,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Uruguay,RU9,RÍO NEGRO,2015-02-24,2015-02-24 00:00:00,3278026,15,10.3,44,78.4,5.94,7.36,72.8,6,9,3,25,50,0.002,NA,8.3,0.002,0.72,NA,NA,0.002,0.002,1.4,3.9,0.015,0.048,NA,0.011,47,0.43,0.004,0.81,12,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA,NA,91,61,30,65,15,0.002,0.002,1.3,19.1,20,0.5,1,0.06,4.28,NA,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Uruguay,RU3,RÍO NEGRO,2018-01-09,2018-01-09 09:00:00,3287083,4.6,NA,29,75.7,8.73,7.7,109,NA,NA,NA,NA,100,NA,0.003,6.4,NA,1,2.4,NA,NA,NA,1.5,3.5,NA,0.033,NA,NA,120,0.67,NA,1.1,1,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,46,28,85,22,0.022,NA,1.3,14,5,1,1,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Uruguay,RU6,RÍO NEGRO,2018-01-09,2018-01-09 10:10:00,3287087,7.3,NA,29,75.8,9,7.92,112.8,NA,NA,NA,NA,115,NA,NA,6,NA,1.1,2.5,NA,NA,NA,1.4,3.1,NA,0.16,NA,NA,64,0.74,NA,1.16,NA,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,NA,68,42,26,85,21,NA,NA,1.4,14,35,NA,1,NA,3.7,NA,NA,NA,NA,NA,NA,NA,NA,0.015,0.015,0.014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Uruguay,RU7,RÍO NEGRO,2018-01-09,2018-01-09 10:50:00,3287088,8.5,NA,29,80.1,8.88,7.9,111.5,NA,5,NA,NA,100,NA,NA,6.2,NA,1.1,2.3,NA,NA,NA,1.4,3,NA,0.17,NA,NA,60,0.72,0.005,1.12,NA,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,1.8,NA,68,41,27,85,19,NA,NA,2.6,14,40,2,1,NA,4.1,NA,NA,NA,NA,NA,NA,NA,NA,0.013,NA,0.017,NA,NA,NA,NA,NA,NA,NA,0.017,NA,NA,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Uruguay,RU8,RÍO NEGRO,2018-01-09,2018-01-09 11:10:00,3287090,8.8,NA,30,84.4,8.98,7.91,113.1,NA,NA,NA,NA,110,NA,NA,6.6,NA,1,2.4,NA,NA,NA,1.4,3.8,NA,NA,NA,NA,58,0.74,0.005,1.09,1,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1.6,NA,77,46,31,85,22,NA,NA,3.6,13,NA,1,1,NA,3.3,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
