date,date_time,estacion,river,data_model,alcalinidad_total_mg_ca_co3_l,clorofila_a_mg_l,conductividad_m_s_cm,fosfato_ortofosfato_mg_po4_p_l,fosforo_total_mg_p_l,ion_nitrito_mg_no2_n_l,nitrato_mg_no3_n_l,nitrogeno_amoniacal_amonio_mg_nh4_n_l,nitrogeno_total_mg_n_l,oxigeno_disuelto_mg_l,potencial_de_hidrogeno_p_h_sin_unid,solidos_suspendidos_totales_mg_l,temperatura_o_c,turbidez_ntu
2008-01-08,2008-01-08T00:00:00Z,RC60,Cuareim,Test,84,NA,193.5,NA,NA,0.096,0.9,0.11,5.7,8.05,7.1,16,30.9,3.1
2008-01-09,2008-01-09T00:00:00Z,RC35,Cuareim,Test,80,NA,154.7,NA,42,NA,NA,NA,NA,7.3,6.71,23,32,3
2008-01-09,2008-01-09T00:00:00Z,RC40,Cuareim,Test,79,NA,155.8,NA,5,NA,0.067,0.19,NA,5.94,6.27,120,32.2,37
2008-02-26,2008-02-26T00:00:00Z,RC35,Cuareim,Test,85,NA,185,NA,NA,0.007,0.31,0.049,0.65,7.24,8.22,NA,28,3.8
2008-02-26,2008-02-26T00:00:00Z,RC40,Cuareim,Test,110,NA,241,41,12,NA,0.29,0.028,0.8,5.39,7.85,NA,28.7,5.1
2008-02-27,2008-02-27T00:00:00Z,RC60,Cuareim,Test,110,NA,210.5,NA,51,NA,0.35,0.053,0.73,7.7,7.53,16,28.4,6.4
2008-05-27,2008-05-27T00:00:00Z,RC35,Cuareim,Test,68,NA,50.1,NA,38,0.01,0.17,0.059,NA,7.79,6.23,NA,15.6,11
2008-09-02,2008-09-02T00:00:00Z,RC40,Cuareim,Test,29,NA,58.6,NA,34,0.018,0.69,0.061,NA,8.78,6.48,NA,16.9,6
2008-09-02,2008-09-02T00:00:00Z,RC60,Cuareim,Test,47,NA,69.2,NA,48,NA,0.07,NA,NA,8.72,6.71,NA,17.1,3.1
2008-09-03,2008-09-03T00:00:00Z,RC35,Cuareim,Test,30,NA,58.8,NA,3,0.016,0.98,NA,NA,8.46,6.49,NA,17.5,5.2
2008-12-02,2008-12-02T00:00:00Z,RC60,Cuareim,Test,77,NA,166.4,NA,49,NA,1.5,NA,NA,8.11,7.92,NA,24.1,8.4
2008-12-03,2008-12-03T00:00:00Z,RC35,Cuareim,Test,56,NA,132.8,NA,31,NA,1.3,NA,NA,8.45,7.6,NA,25.6,7
2008-12-03,2008-12-03T00:00:00Z,RC40,Cuareim,Test,61,NA,144,NA,83,0.025,3.1,0.023,NA,8.39,7.64,NA,25.1,6.8
2009-02-03,2009-02-03T00:00:00Z,RC60,Cuareim,Test,69,NA,160.5,NA,71,0.032,1.3,0.074,NA,7.81,7.26,20,25.1,25
2009-02-04,2009-02-04T00:00:00Z,RC35,Cuareim,Test,83,NA,208.8,NA,11,0.006,NA,NA,NA,9.52,8.05,NA,29.1,6
