clorofila_a_mg_l,alcalinidad_total_mg_ca_co3_l,conductividad_m_s_cm,fosforo_total_mg_p_l,solidos_suspendidos_totales_mg_l,potencial_de_hidrogeno_p_h_sin_unid,temperatura_o_c,date,date_time,estacion,river,data_model
NA,84,193.5,NA,16,7.1,30.9,2008-01-08,2008-01-08T00:00:00Z,RC60,Cuareim,Test
NA,80,154.7,42,23,6.71,32,2008-01-09,2008-01-09T00:00:00Z,RC35,Cuareim,Test
NA,79,155.8,5,120,6.27,32.2,2008-01-09,2008-01-09T00:00:00Z,RC40,Cuareim,Test
NA,85,185,NA,NA,8.22,28,2008-02-26,2008-02-26T00:00:00Z,RC35,Cuareim,Test
NA,110,241,12,NA,7.85,28.7,2008-02-26,2008-02-26T00:00:00Z,RC40,Cuareim,Test
NA,110,210.5,51,16,7.53,28.4,2008-02-27,2008-02-27T00:00:00Z,RC60,Cuareim,Test
NA,68,50.1,38,NA,6.23,15.6,2008-05-27,2008-05-27T00:00:00Z,RC35,Cuareim,Test
NA,29,58.6,34,NA,6.48,16.9,2008-09-02,2008-09-02T00:00:00Z,RC40,Cuareim,Test
NA,47,69.2,48,NA,6.71,17.1,2008-09-02,2008-09-02T00:00:00Z,RC60,Cuareim,Test
NA,30,58.8,3,NA,6.49,17.5,2008-09-03,2008-09-03T00:00:00Z,RC35,Cuareim,Test
NA,77,166.4,49,NA,7.92,24.1,2008-12-02,2008-12-02T00:00:00Z,RC60,Cuareim,Test
NA,56,132.8,31,NA,7.6,25.6,2008-12-03,2008-12-03T00:00:00Z,RC35,Cuareim,Test
NA,61,144,83,NA,7.64,25.1,2008-12-03,2008-12-03T00:00:00Z,RC40,Cuareim,Test
NA,69,160.5,71,20,7.26,25.1,2009-02-03,2009-02-03T00:00:00Z,RC60,Cuareim,Test
NA,83,208.8,11,NA,8.05,29.1,2009-02-04,2009-02-04T00:00:00Z,RC35,Cuareim,Test
NA,83,207.7,11,NA,7.31,28.3,2009-02-04,2009-02-04T00:00:00Z,RC40,Cuareim,Test
NA,71,229.7,NA,NA,6.59,20.8,2009-05-05,2009-05-05T00:00:00Z,RC20,Cuareim,Test
NA,70,157.7,NA,NA,7.05,19.7,2009-05-05,2009-05-05T00:00:00Z,RC35,Cuareim,Test
NA,75,171.9,11,NA,7.31,19.8,2009-05-06,2009-05-06T00:00:00Z,RC40,Cuareim,Test
0.15,103,191.1,NA,NA,7.73,18.6,2009-05-06,2009-05-06T00:00:00Z,RC60,Cuareim,Test
0.28,81,142.1,11,7,7.21,22.1,2009-09-01,2009-09-01T00:00:00Z,RC40,Cuareim,Test
0.24,81,168.1,19,8,7.99,21.7,2009-09-01,2009-09-01T00:00:00Z,RC60,Cuareim,Test
0.5,58,123.5,NA,10,7.67,24.4,2010-03-23,2010-03-23T00:00:00Z,RC35,Cuareim,Test
NA,63,144.9,95,13,7.31,26.3,2010-03-23,2010-03-23T00:00:00Z,RC40,Cuareim,Test
0.7,55,117.2,NA,60,7.81,24.7,2010-03-24,2010-03-24T00:00:00Z,RC20,Cuareim,Test
2.9,63,129.1,93,130,7.51,23.1,2010-03-24,2010-03-24T00:00:00Z,RC60,Cuareim,Test
3.9,27,53.2,161,65,6.82,17.7,2010-05-25,2010-05-25T00:00:00Z,RC40,Cuareim,Test
2,32,59.4,213,140,7.13,19.8,2010-05-25,2010-05-25T00:00:00Z,RC60,Cuareim,Test
3.8,22,38.1,109,50,6.63,16.7,2010-05-26,2010-05-26T00:00:00Z,RC20,Cuareim,Test
0.5,21,37.1,37,91,6.65,17,2010-05-26,2010-05-26T00:00:00Z,RC35,Cuareim,Test
NA,12,25.1,148,20,6.31,13.1,2010-07-27,2010-07-27T00:00:00Z,RC40,Cuareim,Test
1,25,49.7,158,85,7.39,10.3,2010-07-27,2010-07-27T00:00:00Z,RC60,Cuareim,Test
0.1,21,42.4,57,15,7.05,11.2,2010-07-28,2010-07-28T00:00:00Z,RC20,Cuareim,Test
NA,16,38.8,NA,31,7.01,10.9,2010-07-28,2010-07-28T00:00:00Z,RC35,Cuareim,Test
15.5,48,107.6,86,10,7.13,20.8,2010-10-05,2010-10-05T00:00:00Z,RC40,Cuareim,Test
10.2,50,114.5,694,17,7.3,19.2,2010-10-05,2010-10-05T00:00:00Z,RC60,Cuareim,Test
0.7,49,105.1,112,16,7.08,19,2010-10-06,2010-10-06T00:00:00Z,RC20,Cuareim,Test
1,54,103.6,117,16,6.9,18.6,2010-10-06,2010-10-06T00:00:00Z,RC35,Cuareim,Test
19.8,80,174.3,796,NA,8.77,25.1,2010-11-23,2010-11-23T00:00:00Z,RC40,Cuareim,Test
3,120,239.1,642,5,8.24,24.1,2010-11-23,2010-11-23T00:00:00Z,RC60,Cuareim,Test
8.9,77,170.5,NA,NA,8.12,23.1,2010-11-24,2010-11-24T00:00:00Z,RC20,Cuareim,Test
8.1,77,175.1,60,NA,7.45,23.4,2010-11-24,2010-11-24T00:00:00Z,RC35,Cuareim,Test
NA,42,105.7,11,48,6.82,25.7,2011-03-01,2011-03-01T00:00:00Z,RC40,Cuareim,Test
8.6,58,108.3,53,30,7.48,24.9,2011-03-01,2011-03-01T00:00:00Z,RC60,Cuareim,Test
7.4,56,130.9,28,8,6.43,23.5,2011-03-02,2011-03-02T00:00:00Z,RC20,Cuareim,Test
0.7,46,109.1,4,13,6.85,25,2011-03-02,2011-03-02T00:00:00Z,RC35,Cuareim,Test
0.4,37,73.5,42,350,6.5,18.3,2011-06-21,2011-06-21T00:00:00Z,RC40,Cuareim,Test
NA,36,74.3,3,94,6.29,18.3,2011-06-21,2011-06-21T00:00:00Z,RC60,Cuareim,Test
1.5,25,59.2,317,110,6.24,15.9,2011-06-22,2011-06-22T00:00:00Z,RC20,Cuareim,Test
0.1,27,61.5,346,95,6.81,16.9,2011-06-22,2011-06-22T00:00:00Z,RC35,Cuareim,Test
9.8,67,148.7,195,NA,8.54,26.7,2011-12-20,2011-12-20T00:00:00Z,RC40,Cuareim,Test
3.1,130,237.4,231,NA,8.31,26.8,2011-12-20,2011-12-20T00:00:00Z,RC60,Cuareim,Test
1.2,64,154.6,183,NA,7.84,26,2011-12-21,2011-12-21T00:00:00Z,RC20,Cuareim,Test
1,65,133.7,182,NA,8.21,25.9,2011-12-21,2011-12-21T00:00:00Z,RC35,Cuareim,Test
23.7,180,185.4,273,6.9,9.17,30.8,2012-02-14,2012-02-14T00:00:00Z,RC40,Cuareim,Test
16.3,160,197.2,183,NA,8.34,28.3,2012-02-14,2012-02-14T00:00:00Z,RC60,Cuareim,Test
1.5,82,172.7,198,NA,8.26,27.8,2012-02-15,2012-02-15T00:00:00Z,RC20,Cuareim,Test
1.8,79,160.1,187,NA,7.69,27.9,2012-02-15,2012-02-15T00:00:00Z,RC35,Cuareim,Test
3.1,52.8,141.1,385,150,6.77,22.4,2012-04-10,2012-04-10T00:00:00Z,RC40,Cuareim,Test
1,77.7,161.4,83,NA,6.42,23.6,2012-04-10,2012-04-10T00:00:00Z,RC60,Cuareim,Test
1.9,49.2,111.2,82,24.5,6.47,21.5,2012-04-11,2012-04-11T00:00:00Z,RC20,Cuareim,Test
1.8,51.2,104.4,142,148,6.51,21.7,2012-04-11,2012-04-11T00:00:00Z,RC35,Cuareim,Test
0.9,63,128.9,6,6.4,6.1,19,2012-05-30,2012-05-30T12:00:00Z,RC20,Cuareim,Test
5.9,64,132.9,31,NA,6.13,19.5,2012-05-30,2012-05-30T12:00:00Z,RC35,Cuareim,Test
1.9,70,155.3,12,5.6,6.24,20.7,2012-05-30,2012-05-30T12:00:00Z,RC40,Cuareim,Test
1.5,86,149.5,2,NA,7.41,20.9,2012-05-30,2012-05-30T12:00:00Z,RC60,Cuareim,Test
2.5,46,88.1,97,6.8,7.31,14.5,2012-07-24,2012-07-24T00:00:00Z,RC40,Cuareim,Test
